TID;CIVILSTAND;OMRÅDE;INDHOLD
2020K2 2020K2;U Ugift;161 Glostrup;11365
2020K2 2020K2;U Ugift;163 Herlev;13786
2020K2 2020K2;U Ugift;167 Hvidovre;26537
2020K2 2020K2;U Ugift;169 Høje-Taastrup;23641
2020K2 2020K2;U Ugift;183 Ishøj;10785
2020K2 2020K2;U Ugift;173 Lyngby-Taarbæk;27922
2020K2 2020K2;U Ugift;175 Rødovre;20083
2020K2 2020K2;U Ugift;187 Vallensbæk;7331
2020K2 2020K2;U Ugift;201 Allerød;10615
2020K2 2020K2;U Ugift;240 Egedal;18342
2020K2 2020K2;U Ugift;210 Fredensborg;17161
2020K2 2020K2;U Ugift;250 Frederikssund;18589
2020K2 2020K2;U Ugift;190 Furesø;17448
2020K2 2020K2;U Ugift;270 Gribskov;15998
2020K2 2020K2;U Ugift;260 Halsnæs;12747
2020K2 2020K2;U Ugift;217 Helsingør;27202
2020K2 2020K2;U Ugift;219 Hillerød;23323
2020K2 2020K2;U Ugift;223 Hørsholm;9675
2020K2 2020K2;U Ugift;230 Rudersdal;24669
2020K2 2020K2;U Ugift;400 Bornholm;15992
2020K2 2020K2;U Ugift;411 Christiansø;32
2020K2 2020K2;U Ugift;085 Region Sjælland;369343
2020K2 2020K2;U Ugift;253 Greve;20998
2020K2 2020K2;U Ugift;259 Køge;27375
2020K2 2020K2;U Ugift;350 Lejre;11549
2020K2 2020K2;U Ugift;265 Roskilde;41460
2020K2 2020K2;U Ugift;269 Solrød;9974
2020K2 2020K2;U Ugift;320 Faxe;15574
2020K2 2020K2;U Ugift;376 Guldborgsund;25856
2020K2 2020K2;U Ugift;316 Holbæk;32268
2020K2 2020K2;U Ugift;326 Kalundborg;21159
2020K2 2020K2;U Ugift;360 Lolland;17081
2020K2 2020K2;U Ugift;370 Næstved;38148
2020K2 2020K2;U Ugift;306 Odsherred;12999
2020K2 2020K2;U Ugift;329 Ringsted;16010
2020K2 2020K2;U Ugift;330 Slagelse;37433
2020K2 2020K2;U Ugift;340 Sorø;13262
2020K2 2020K2;U Ugift;336 Stevns;9099
2020K2 2020K2;U Ugift;390 Vordingborg;19098
2020K2 2020K2;U Ugift;083 Region Syddanmark;569654
2020K2 2020K2;U Ugift;420 Assens;17702
2020K2 2020K2;U Ugift;430 Faaborg-Midtfyn;22026
2020K2 2020K2;U Ugift;440 Kerteminde;9831
2020K2 2020K2;U Ugift;482 Langeland;4549
